tipo,tiempo_1,tiempo_2,tiempo_semana,tiempo_dos_semanas,tiempo_tres_semanas,mse_t1,mse_t2,mse_semana,mse_dos_semanas,mse_tres_semanas
1,0.017012357711791992,0.02738189697265625,0.20883798599243164,0.6921589374542236,2.620675802230835,3.7330859849289353,1.9381932404896478,5.909220719521135,4.4614292501338,8.932078913455264
1,0.01791524887084961,0.0287017822265625,0.21203899383544922,0.6370160579681396,2.3726248741149902,8.701414812059573,3.28422369999628,5.3630169536791366,4.980989010762856,7.2309456600797555
1,0.01704096794128418,0.028664827346801758,0.1846320629119873,0.6087899208068848,2.4395339488983154,17.558366798306103,16.996746977894052,18.088390284753586,16.75737710789271,9.901692878689133
1,0.01803898811340332,0.029840946197509766,0.18602895736694336,0.619218111038208,2.2973639965057373,4.998783976042784,4.6814704740367015,12.474884395062338,10.215126320500595,2.34287989477339
1,0.016594886779785156,0.028072834014892578,0.20464706420898438,0.6140689849853516,2.326024055480957,6.355689538899189,9.426639245942399,0.27525992310394604,0.6973247568191235,1.8838454647162408
1,0.016258955001831055,0.037339210510253906,0.2056591510772705,0.752439022064209,2.4278931617736816,1.7643586177608455,2.3368762160065466,1.2722693345129172,1.7707288994415584,1.2454172255222644
1,0.015671968460083008,0.023642778396606445,0.16306591033935547,0.6021778583526611,2.6758241653442383,0.9033804203315516,0.9987662569449304,1.024675570156422,1.625487430110755,1.787414713772612
1,0.01654815673828125,0.028007984161376953,0.1836249828338623,0.7256069183349609,2.3600971698760986,2.893952254985974,6.101319965967988,3.7907155533445844,5.436164388414945,7.490770848096777
1,0.016521930694580078,0.025174856185913086,0.19503998756408691,0.6788852214813232,2.5183277130126953,3.2075999748523003,6.1730666529439455,6.173964082371239,6.232487645506095,2.3221288589582625
1,0.015603065490722656,0.0246429443359375,0.1911001205444336,0.6200177669525146,2.348119020462036,0.5308483808596921,2.0489832137244464,0.971295749459537,0.6376311691508699,1.1636346500246388
1,0.016020774841308594,0.027630090713500977,0.17648983001708984,0.5952160358428955,2.3664729595184326,0.6401013294040502,0.4532027255909517,5.11133578343174,0.8374851986724637,3.719478196288321
1,0.0182950496673584,0.030018091201782227,0.18165206909179688,0.577564001083374,2.317909002304077,4.577195678415318,2.130266381748188,4.645283373694206,1.7464223207754248,1.512871652270233
